PLA2G2F	controls-production-of	chebi:15843
PLA2G3	catalysis-precedes	ALOX12B
PLA2G3	catalysis-precedes	ALOX12
PLA2G3	catalysis-precedes	ALOX15B
PLA2G3	controls-production-of	CHEBI:16110
PLA2G3	controls-production-of	CHEBI:17504
PLA2G3	controls-production-of	CHEBI:49183
PLA2G3	catalysis-precedes	CYP2B6
PLA2G3	catalysis-precedes	CYP2C18
PLA2G3	catalysis-precedes	CYP2C19
PLA2G3	catalysis-precedes	CYP2C8
PLA2G3	catalysis-precedes	CYP2C9
PLA2G3	catalysis-precedes	CYP2J2
PLA2G3	catalysis-precedes	CYP4A22
PLA2G3	controls-production-of	chebi:15843
PLA2G4A	catalysis-precedes	ALOX12B
PLA2G4A	catalysis-precedes	ALOX12
PLA2G4A	catalysis-precedes	ALOX15B
PLA2G4A	controls-production-of	CHEBI:16110
PLA2G4A	controls-production-of	CHEBI:17504
PLA2G4A	controls-production-of	CHEBI:49183
PLA2G4A	catalysis-precedes	CYP2B6
PLA2G4A	catalysis-precedes	CYP2C18
PLA2G4A	catalysis-precedes	CYP2C19
