gene_name,entry_name
PNPO,J3QQZ9_HUMAN
PNPO,A0A286YFA1_HUMAN
PNPO,A0A286YFL3_HUMAN
PDE3A,PDE3A_HUMAN
GATM,GATM_HUMAN
GATM,A0A6Q8PGA2_HUMAN
GATM,H0YMX4_HUMAN
GATM,A0A6Q8PFC6_HUMAN
GATM,L8E7A2_HUMAN
GATM,H0YLC6_HUMAN
GATM,H0YN43_HUMAN
GATM,A0A6Q8PHC6_HUMAN
GATM,A0A6Q8PF48_HUMAN
GATM,H0YL75_HUMAN
GATM,H0YKW9_HUMAN
GSTA5,GSTA5_HUMAN
GSTA5,A0AAA9YHN5_HUMAN
PHOSPHO1,PHOP1_HUMAN
PHOSPHO1,I3L4N1_HUMAN
PHOSPHO1,D6RB58_HUMAN
PHOSPHO1,D6RHH9_HUMAN
PHOSPHO1,D6RIT6_HUMAN
SULT1A2,ST1A2_HUMAN
SULT1A2,E9PM76_HUMAN
SULT1A2,E9PKW4_HUMAN
SULT1A2,E9PKR8_HUMAN
POMGNT1,PMGT1_HUMAN
POMGNT1,A0A8I5KQE4_HUMAN
POMGNT1,Q68CV6_HUMAN
POMGNT1,A0A8I5KR25_HUMAN
POMGNT1,A0A8I5KNB7_HUMAN
POMGNT1,A0A8I5KVA5_HUMAN
POMGNT1,A0A8I5KTS5_HUMAN
POMGNT1,A0A8I5QJA9_HUMAN
POMGNT1,A0A8I5KSR6_HUMAN
POMGNT1,A0A8I5QJV3_HUMAN
POMGNT1,A0A8I5KPT5_HUMAN
ADH6,ADH6_HUMAN
ADH6,Q8IUN7_HUMAN
ADH6,L8E8M5_HUMAN
ADH6,D6RDN5_HUMAN
ADH6,H0Y8U2_HUMAN
ADH6,D6RH17_HUMAN
GOT1,AATC_HUMAN
ACO1,ACOHC_HUMAN
ADH4,ADH4_HUMAN
ADH4,D6RF43_HUMAN
ADH4,D6R9K8_HUMAN
ADH4,H0Y9N0_HUMAN
ADH4,D6RIB1_HUMAN
CA1,CAH1_HUMAN
CA1,E5RG81_HUMAN
CA1,E5RG43_HUMAN
CA1,E5RJI8_HUMAN
CA1,E5RHP7_HUMAN
CA1,E5RFL2_HUMAN
CA1,E5RJF6_HUMAN
CA1,E5RGU8_HUMAN
CA1,E5RII2_HUMAN
CA1,E5RIF9_HUMAN
CA1,E5RFE7_HUMAN
CA1,E5RH81_HUMAN
CA1,E5RHS7_HUMAN
CA1,H0YBE2_HUMAN
PDE1B,PDE1B_HUMAN
PDE1B,B4DK72_HUMAN
PDE1B,F8VZK3_HUMAN
PDE1B,A0A087WTW8_HUMAN
PIP4K2A,PI42A_HUMAN
PIP4K2A,L8EAD2_HUMAN
PIP4K2A,H7BXS3_HUMAN
PIP4K2A,S4R320_HUMAN
GAD2,DCE2_HUMAN
GAD2,Q5VZ30_HUMAN
GAD2,A0A3B3IU09_HUMAN
GAD2,Q4G154_HUMAN
GAD2,Q5VZ31_HUMAN
POLE2,DPOE2_HUMAN
POLE2,A0A8V8TR10_HUMAN
POLE2,A0A8V8TQQ0_HUMAN
POLE2,A0A8V8TPU0_HUMAN
POLE2,U3KQ22_HUMAN
POLE2,A0A8V8TPE4_HUMAN
NUDT12,NUD12_HUMAN
DAD1,DAD1_HUMAN
DAD1,A0A0B4J239_HUMAN
DAD1,F5H895_HUMAN
DAD1,F5GXX5_HUMAN
UGT1A7,UD17_HUMAN
UGT1A7,Q5DSZ7_HUMAN
UGT1A7,Q96PN9_HUMAN
UGT1A7,Q5K673_HUMAN
UGT1A7,Q96PP0_HUMAN
UGT1A7,Q4R0Z5_HUMAN
UGT1A7,Q9H3G1_HUMAN
